ID,Motivo_ausencia,Mes_ausencia,Dia_da_semana,Estacoes_do_ano,Despesa_com_transporte,Distancia_casa_x_trabalho,Tempo_de_servico,Idade,Volume_Operacional_Diario,Meta_atingida,Falha_disciplinar,Escolaridade,Filhos,Consumo_de_alcool,Fumante,Animal_de_estimacao,Peso,Altura,IMC,Tempo_de_ausencia_horas
11,26,7,3,1,289.0,36.0,13.0,33,239554.0,97,0,1,2,1,0,1,90.0,172.0,30.0,4
36,0,7,3,1,118.0,13.0,18.0,50,239554.0,97,1,1,1,1,0,0,98.0,178.0,31.0,0
3,23,7,4,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,2
7,7,7,5,1,279.0,5.0,14.0,39,239554.0,97,0,1,2,1,1,0,68.0,168.0,24.0,4
11,23,7,5,1,289.0,36.0,13.0,33,239554.0,97,0,1,2,1,0,1,90.0,172.0,30.0,2
3,23,7,6,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,2
10,22,7,6,1,361.0,52.0,3.0,28,239554.0,97,0,1,1,1,0,4,80.0,172.0,27.0,8
20,23,7,6,1,260.0,50.0,11.0,36,239554.0,97,0,1,4,1,0,0,65.0,168.0,23.0,4
14,19,7,2,1,155.0,12.0,14.0,34,239554.0,97,0,1,2,1,0,0,95.0,196.0,25.0,40
1,22,7,2,1,235.0,11.0,14.0,37,239554.0,97,0,3,1,0,0,1,88.0,172.0,29.0,8
20,1,7,2,1,260.0,50.0,11.0,36,239554.0,97,0,1,4,1,0,0,65.0,168.0,23.0,8
20,1,7,3,1,260.0,50.0,11.0,36,239554.0,97,0,1,4,1,0,0,65.0,168.0,23.0,8
20,11,7,4,1,260.0,50.0,11.0,36,239554.0,97,0,1,4,1,0,0,65.0,168.0,23.0,8
3,11,7,4,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,1
3,23,7,4,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,4
24,14,7,6,1,246.0,25.0,16.0,41,239554.0,97,0,1,0,1,0,0,67.0,170.0,23.0,8
3,23,7,6,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,2
3,21,7,2,1,179.0,51.0,18.0,38,239554.0,97,0,1,0,1,0,0,89.0,170.0,31.0,8
6,11,7,5,1,189.0,29.0,13.0,33,239554.0,97,0,1,2,0,0,2,69.0,167.0,25.0,8
33,23,8,4,1,248.0,25.0,14.0,47,205917.0,92,0,1,2,0,0,1,86.0,165.0,32.0,2
18,10,8,4,1,330.0,16.0,4.0,28,205917.0,92,0,2,0,0,0,0,84.0,182.0,25.0,8
3,11,8,2,1,179.0,51.0,18.0,38,205917.0,92,0,1,0,1,0,0,89.0,170.0,31.0,1
10,13,8,2,1,361.0,52.0,3.0,28,205917.0,92,0,1,1,1,0,4,80.0,172.0,27.0,40
20,28,8,6,1,260.0,50.0,11.0,36,205917.0,92,0,1,4,1,0,0,65.0,168.0,23.0,4
11,18,8,2,1,289.0,36.0,13.0,33,205917.0,92,0,1,2,1,0,1,90.0,172.0,30.0,8
10,25,8,2,1,361.0,52.0,3.0,28,205917.0,92,0,1,1,1,0,4,80.0,172.0,27.0,7
11,23,8,3,1,289.0,36.0,13.0,33,205917.0,92,0,1,2,1,0,1,90.0,172.0,30.0,1
30,28,8,4,1,157.0,27.0,6.0,29,205917.0,92,0,1,0,1,1,0,75.0,185.0,22.0,4
11,18,8,4,1,289.0,36.0,13.0,33,205917.0,92,0,1,2,1,0,1,90.0,172.0,30.0,8
3,23,8,6,1,179.0,51.0,18.0,38,205917.0,92,0,1,0,1,0,0,89.0,170.0,31.0,2
3,18,8,2,1,179.0,51.0,18.0,38,205917.0,92,0,1,0,1,0,0,89.0,170.0,31.0,8
2,18,8,5,1,235.0,29.0,12.0,48,205917.0,92,0,1,1,0,1,5,88.0,163.0,33.0,8
1,23,8,5,1,235.0,11.0,14.0,37,205917.0,92,0,3,1,0,0,1,88.0,172.0,29.0,4
2,18,8,2,1,235.0,29.0,12.0,48,205917.0,92,0,1,1,0,1,5,88.0,163.0,33.0,8
3,23,8,2,1,179.0,51.0,18.0,38,205917.0,92,0,1,0,1,0,0,89.0,170.0,31.0,2
10,23,8,2,1,361.0,52.0,3.0,28,205917.0,92,0,1,1,1,0,4,80.0,172.0,27.0,1
11,24,8,3,1,289.0,36.0,13.0,33,205917.0,92,0,1,2,1,0,1,90.0,172.0,30.0,8
19,11,8,5,1,291.0,50.0,12.0,32,205917.0,92,0,1,0,1,0,0,65.0,169.0,23.0,4
2,28,8,6,1,235.0,29.0,12.0,48,205917.0,92,0,1,1,0,1,5,88.0,163.0,33.0,8
20,23,8,6,1,260.0,50.0,11.0,36,205917.0,92,0,1,4,1,0,0,65.0,168.0,23.0,4
27,23,9,3,1,184.0,42.0,7.0,27,241476.0,92,0,1,0,0,0,0,58.0,167.0,21.0,2
34,23,9,2,1,118.0,10.0,10.0,37,241476.0,92,0,1,0,0,0,0,83.0,172.0,28.0,4
3,23,9,3,1,179.0,51.0,18.0,38,241476.0,92,0,1,0,1,0,0,89.0,170.0,31.0,4
5,19,9,3,1,235.0,20.0,13.0,43,241476.0,92,0,1,1,1,0,0,106.0,167.0,38.0,8
14,23,9,4,1,155.0,12.0,14.0,34,241476.0,92,0,1,2,1,0,0,95.0,196.0,25.0,2
34,23,9,2,1,118.0,10.0,10.0,37,241476.0,92,0,1,0,0,0,0,83.0,172.0,28.0,3
3,23,9,3,1,179.0,51.0,18.0,38,241476.0,92,0,1,0,1,0,0,89.0,170.0,31.0,3
15,23,9,5,1,291.0,31.0,12.0,40,241476.0,92,0,1,1,1,0,1,73.0,171.0,25.0,4
20,22,9,6,1,260.0,50.0,11.0,36,241476.0,92,0,1,4,1,0,0,65.0,168.0,23.0,8
15,14,9,2,4,291.0,31.0,12.0,40,241476.0,92,0,1,1,1,0,1,73.0,171.0,25.0,32
20,0,9,2,4,260.0,50.0,11.0,36,241476.0,92,1,1,4,1,0,0,65.0,168.0,23.0,0
29,0,9,2,4,225.0,26.0,9.0,28,241476.0,92,1,1,1,0,0,2,69.0,169.0,24.0,0
28,23,9,3,4,225.0,26.0,9.0,28,241476.0,92,0,1,1,0,0,2,69.0,169.0,24.0,2
34,23,9,3,4,118.0,10.0,10.0,37,241476.0,92,0,1,0,0,0,0,83.0,172.0,28.0,2
11,0,9,3,4,289.0,36.0,13.0,33,241476.0,92,1,1,2,1,0,1,90.0,172.0,30.0,0
36,0,9,3,4,118.0,13.0,18.0,50,241476.0,92,1,1,1,1,0,0,98.0,178.0,31.0,0
28,18,9,4,4,225.0,26.0,9.0,28,241476.0,92,0,1,1,0,0,2,69.0,169.0,24.0,3
3,23,9,4,4,179.0,51.0,18.0,38,241476.0,92,0,1,0,1,0,0,89.0,170.0,31.0,3
13,0,9,4,4,369.0,17.0,12.0,31,241476.0,92,1,1,3,1,0,0,70.0,169.0,25.0,0
33,23,9,6,4,248.0,25.0,14.0,47,241476.0,92,0,1,2,0,0,1,86.0,165.0,32.0,1
3,23,9,6,4,179.0,51.0,18.0,38,241476.0,92,0,1,0,1,0,0,89.0,170.0,31.0,3
20,23,9,6,4,260.0,50.0,11.0,36,241476.0,92,0,1,4,1,0,0,65.0,168.0,23.0,4
3,23,10,3,4,179.0,51.0,18.0,38,253465.0,93,0,1,0,1,0,0,89.0,170.0,31.0,3
34,23,10,3,4,118.0,10.0,10.0,37,253465.0,93,0,1,0,0,0,0,83.0,172.0,28.0,3
36,0,10,4,4,118.0,13.0,18.0,50,253465.0,93,1,1,1,1,0,0,98.0,178.0,31.0,0
22,23,10,5,4,179.0,26.0,9.0,30,253465.0,93,0,3,0,0,0,0,56.0,171.0,19.0,1
3,23,10,6,4,179.0,51.0,18.0,38,253465.0,93,0,1,0,1,0,0,89.0,170.0,31.0,3
28,23,10,6,4,225.0,26.0,9.0,28,253465.0,93,0,1,1,0,0,2,69.0,169.0,24.0,3
34,23,10,3,4,118.0,10.0,10.0,37,253465.0,93,0,1,0,0,0,0,83.0,172.0,28.0,3
28,23,10,4,4,225.0,26.0,9.0,28,253465.0,93,0,1,1,0,0,2,69.0,169.0,24.0,2
33,23,10,4,4,248.0,25.0,14.0,47,253465.0,93,0,1,2,0,0,1,86.0,165.0,32.0,2
15,23,10,5,4,291.0,31.0,12.0,40,253465.0,93,0,1,1,1,0,1,73.0,171.0,25.0,5
3,23,10,4,4,179.0,51.0,18.0,38,253465.0,93,0,1,0,1,0,0,89.0,170.0,31.0,8
28,23,10,4,4,225.0,26.0,9.0,28,253465.0,93,0,1,1,0,0,2,69.0,169.0,24.0,3
20,19,10,5,4,260.0,50.0,11.0,36,253465.0,93,0,1,4,1,0,0,65.0,168.0,23.0,16
15,14,10,3,4,291.0,31.0,12.0,40,253465.0,93,0,1,1,1,0,1,73.0,171.0,25.0,8
28,28,10,3,4,225.0,26.0,9.0,28,253465.0,93,0,1,1,0,0,2,69.0,169.0,24.0,2
11,26,10,4,4,289.0,36.0,13.0,33,253465.0,93,0,1,2,1,0,1,90.0,172.0,30.0,8
10,23,10,6,4,361.0,52.0,3.0,28,253465.0,93,0,1,1,1,0,4,80.0,172.0,27.0,1
20,28,10,6,4,260.0,50.0,11.0,36,253465.0,93,0,1,4,1,0,0,65.0,168.0,23.0,3
3,23,11,5,4,179.0,51.0,18.0,38,306345.0,93,0,1,0,1,0,0,89.0,170.0,31.0,1
28,23,11,4,4,225.0,26.0,9.0,28,306345.0,93,0,1,1,0,0,2,69.0,169.0,24.0,1
3,13,11,5,4,179.0,51.0,18.0,38,306345.0,93,0,1,0,1,0,0,89.0,170.0,31.0,8
17,21,11,5,4,179.0,22.0,17.0,40,306345.0,93,0,2,2,0,1,0,63.0,170.0,22.0,8
15,23,11,5,4,291.0,31.0,12.0,40,306345.0,93,0,1,1,1,0,1,73.0,171.0,25.0,5
14,10,11,2,4,155.0,12.0,14.0,34,306345.0,93,0,1,2,1,0,0,95.0,196.0,25.0,32
6,22,11,2,4,189.0,29.0,13.0,33,306345.0,93,0,1,2,0,0,2,69.0,167.0,25.0,8
15,14,11,2,4,291.0,31.0,12.0,40,306345.0,93,0,1,1,1,0,1,73.0,171.0,25.0,40
28,23,11,4,4,225.0,26.0,9.0,28,306345.0,93,0,1,1,0,0,2,69.0,169.0,24.0,1
14,6,11,6,4,155.0,12.0,14.0,34,306345.0,93,0,1,2,1,0,0,95.0,196.0,25.0,8
28,23,11,4,4,225.0,26.0,9.0,28,306345.0,93,0,1,1,0,0,2,69.0,169.0,24.0,3
17,21,11,4,4,179.0,22.0,17.0,40,306345.0,93,0,2,2,0,1,0,63.0,170.0,22.0,8
28,13,11,6,4,225.0,26.0,9.0,28,306345.0,93,0,1,1,0,0,2,69.0,169.0,24.0,3
20,28,11,6,4,260.0,50.0,11.0,36,306345.0,93,0,1,4,1,0,0,65.0,168.0,23.0,4
33,28,11,2,4,248.0,25.0,14.0,47,306345.0,93,0,1,2,0,0,1,86.0,165.0,32.0,1
28,28,11,3,4,225.0,26.0,9.0,28,306345.0,93,0,1,1,0,0,2,69.0,169.0,24.0,3
11,7,11,4,4,289.0,36.0,13.0,33,306345.0,93,0,1,2,1,0,1,90.0,172.0,30.0,24
15,23,11,5,4,291.0,31.0,12.0,40,306345.0,93,0,1,1,1,0,1,73.0,171.0,25.0,3
33,23,12,3,4,248.0,25.0,14.0,47,261306.0,97,0,1,2,0,0,1,86.0,165.0,32.0,1
34,19,12,3,4,118.0,10.0,10.0,37,261306.0,97,0,1,0,0,0,0,83.0,172.0,28.0,64
36,23,12,4,4,118.0,13.0,18.0,50,261306.0,97,0,1,1,1,0,0,98.0,178.0,31.0,2
1,26,12,4,4,235.0,11.0,14.0,37,261306.0,97,0,3,1,0,0,1,88.0,172.0,29.0,8
28,23,12,5,4,225.0,26.0,9.0,28,261306.0,97,0,1,1,0,0,2,69.0,169.0,24.0,2
20,26,12,6,4,260.0,50.0,11.0,36,261306.0,97,0,1,4,1,0,0,65.0,168.0,23.0,8
34,19,12,3,4,118.0,10.0,10.0,37,261306.0,97,0,1,0,0,0,0,83.0,172.0,28.0,56
10,22,12,4,4,361.0,52.0,3.0,28,261306.0,97,0,1,1,1,0,4,80.0,172.0,27.0,8
28,28,12,5,4,225.0,26.0,9.0,28,261306.0,97,0,1,1,0,0,2,69.0,169.0,24.0,3
20,28,12,6,4,260.0,50.0,11.0,36,261306.0,97,0,1,4,1,0,0,65.0,168.0,23.0,3
28,23,12,3,4,225.0,26.0,9.0,28,261306.0,97,0,1,1,0,0,2,69.0,169.0,24.0,2
10,22,12,4,4,361.0,52.0,3.0,28,261306.0,97,0,1,1,1,0,4,80.0,172.0,27.0,8
34,27,12,6,4,118.0,10.0,10.0,37,261306.0,97,0,1,0,0,0,0,83.0,172.0,28.0,2
24,19,12,6,2,246.0,25.0,16.0,41,261306.0,97,0,1,0,1,0,0,67.0,170.0,23.0,8
28,23,12,6,2,225.0,26.0,9.0,28,261306.0,97,0,1,1,0,0,2,69.0,169.0,24.0,2
28,23,1,4,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,1
34,19,1,2,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,1
34,27,1,3,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,1
14,18,1,3,2,155.0,12.0,14.0,34,308593.0,95,0,1,2,1,0,0,95.0,196.0,25.0,8
28,27,1,4,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,2
27,23,1,5,2,184.0,42.0,7.0,27,308593.0,95,0,1,0,0,0,0,58.0,167.0,21.0,2
28,28,1,5,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,2
28,27,1,6,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,1
34,27,1,2,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
28,27,1,3,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,2
34,27,1,3,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,4,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,5,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,6,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,2,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,3,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
22,18,1,3,2,179.0,26.0,9.0,30,308593.0,95,0,3,0,0,0,0,56.0,171.0,19.0,8
11,18,1,3,2,289.0,36.0,13.0,33,308593.0,95,0,1,2,1,0,1,90.0,172.0,30.0,8
34,27,1,4,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
27,23,1,5,2,184.0,42.0,7.0,27,308593.0,95,0,1,0,0,0,0,58.0,167.0,21.0,2
34,27,1,5,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,2
34,27,1,2,2,118.0,10.0,10.0,37,308593.0,95,0,1,0,0,0,0,83.0,172.0,28.0,0
28,23,1,3,2,225.0,26.0,9.0,28,308593.0,95,0,1,1,0,0,2,69.0,169.0,24.0,1
